folder,type,value
1,file,B716F582-A991-481F-B42C-3357F1AF42C3.jpg
1,file,edit4.jpg
1,file,IMG_1090 copy.JPG
1,file,karyn edits-2191-2.jpg
1,file,Karyn-face.png
2,file,"1,348,345km2.png"
2,file,Screen Shot 2021-03-13 at 9.41.47.png
2,file,Screen Shot 2023-01-15 at 23.20.13.png
2,file,Screen Shot 2023-01-15 at 23.20.37.png
2,file,Screen Shot 2023-01-15 at 23.22.49.png
2,file,Screen Shot 2023-01-15 at 23.50.26.png
2,file,Screen Shot 2023-02-10 at 0.09.56.png
2,file,VL2R.png
2,file,VisualizeNYC.png
2,file,scrnsht.png
3,file,DSCF1659.jpg
3,file,IMG_2544 (1).jpeg
3,file,IMG_6429.jpeg
3,file,Screen Shot 2023-01-15 at 20.22.34.png
3,file,Screen Shot 2023-01-15 at 21.58.07.png
3,file,Screen Shot 2023-01-15 at 21.59.00.png
3,file,Screen Shot 2023-01-15 at 21.59.35.png
3,file,Screen Shot 2023-01-15 at 22.01.12.png
3,file,Screen Shot 2023-01-15 at 22.02.41.png
3,file,cover copy.png
3,file,hug.png
3,file,mappmontreal.jpeg
3,file,still2.png
4,file,649BDC4D-DAFD-4DD4-A63B-F7B6DC5E60DE.jpg
4,file,Screen Shot 2022-05-21 at 10.09.08.png
5,file,DSC00555.jpg
6,file,B9227212-A1E4-4809-AC24-B13247A3A4D5 2.jpg
6,file,IMG_2288.jpeg
6,link,https://www.bostonartreview.com/read/mit-pub-performance-karyn-nakamura
7,file,_DSF6390-Edit.jpg
8,file,ps3.mov
8,link,https://www.nowness.asia/series/video-art-visions/perfect-syntax-karyn-nakamura
9,file,403E24ED-366D-4154-AFE4-084ED52CB674.jpg
9,file,Device_for_deterritorialization1.jpg
9,file,digging-img2.jpg
10,link,https://civicdatadesignlab.mit.edu/
11,link,https://www.dropbox.com/scl/fi/pxj5xz7hmu6ueo3y2fn9j/KARYN-4.654-final.pdf?rlkey=o23hpj2ztkgj10y7p2yav19cx&st=wrqzyz2x&dl=0
12,link,https://www.regressions.net/
13,file,A36AC81E-B66E-426B-9BF4-8BD28CD6E219.jpg
13,file,guide9title.jpg
13,file,sd_portrait3_019.png
14,link,https://situ.nyc/research
15,file,gfr9152-fthenakis.jpg
16,link,https://www.showstudio.com/
17,file,0CD6B94D-45A7-49F3-8F5D-797037C5933D.JPG
17,file,s_J5A9696.jpg
17,file,IMG_2165.mov
17,file,s_Lara Hughes Install 2.jpg
17,file,ST_-20.jpg
17,file,s_Lara Hughes Install.jpg
17,file,diffusionprocess.001.jpeg
17,file,transformation.001.jpeg
17,link,https://www.showstudio.com/projects/surface-tension
19,link,https://arxiv.org/abs/2502.11989
19,link,https://arxiv.org/abs/2406.08651
20,file,A0F270BA-39F4-4713-A103-AA5ACF3857DB.jpg
20,file,HO.mov
20,file,THOUGHT.mp4
21,file,7040296e917547b6b924775ee2175970.MOV
21,file,7c02380f3e644694bfad839995993d3a.MOV
21,file,Untitledtttt.mov
21,file,IMG_8472.jpg
21,file,trashhssjjlffs.mp4
21,link,https://www.showstudio.com/projects/synthesis
22,link,https://www.dazeddigital.com/dazed100/us?loc=us#karyn-nakamura
24,file,00537094-0195-4C30-A3AC-62E87265FAF2.jpg
24,file,2ec13c5418f242af961dd6e0f4739149.mov
24,file,7903A045-075A-41FE-801A-D90E57BB7B65.jpg
24,file,IMG_4229.PNG
24,file,IMG_4977.jpg
24,file,IMG_4981.jpg
24,file,droneeee.mp4
24,file,f80acbbf45e54b20a3edf00e535ae537.mov
