title,format,concept,description,pagelinktitle,imglink,year,month
noise pile,Installation,Materiality,"A sculpture of disassembled music hardware and 8 channels of generative video that encapsulated a NY based jazz duo performing live from inside at DOMICILE Tokyo. Eyes, keys, mouths, sticks, poles, noses, hands, the elements all together, but without order in a cybernetic noise-making pile.",noise pile,https://www.dropbox.com/scl/fi/xzl2fovq1czv2tijmr9f2/_DSF6390-Edit.jpg?rlkey=f56tr0knoruh0rly1lj4uxtl7&raw=1,2023,December
This program cannot be paused (Shibuya TV),Video,Materiality,"A 30 second short for two Shibuya TV billboards featuring This program cannot be paused, a video originally created for 5 channels of CRT TVs on the meaning of static.",This program cannot be paused (Shibuya TV),https://www.dropbox.com/scl/fi/cqz7ct8m34vs569xxcef5/still1.png?rlkey=278ceqni01dsnjnqjo2gkc2j3&raw=1,2023,December
Digging,Installation,Materiality,"A video installation in a bookstore attic, of a modular playground for signal made of handmade video cables, handmade video adapters, stack of books, projector, and video convertors.",Digging,https://www.dropbox.com/scl/fi/asjha712cryvwelrvlvm2/digging-img2.jpg?rlkey=wwkxbrs7wdtl00nl6sg236cd5&raw=1,2023,December
MIT REGRESSIONS Trailer,Video,Language,"Trailer for MIT: REGRESSIONS, a documentary by MIT students Luke Igel and Wesley Block following the history of the Institute spanning from world War 2 to COVID-19. ",MIT REGRESSIONS Trailer,https://www.dropbox.com/scl/fi/4m1wcmpbmlb55yevebvh4/Screen-Shot-2023-10-07-at-23.24.15.png?rlkey=8q9e3nmo4kabjme0pi39uxfr7&&raw=1,2023,September
Organizing the AV tech closet as media,Performance,Materiality,"A performance (and an essay) to justify the act of organizing the AV closet as media itself. After finishing a big installation (BREAK MY BODY LIBERATE MY SOUL) which involved the collection of hundreds of obsolete video hardware from the MIT dumpsters including 60 screens - CRT TVs as big as 30”, 20 Dell LCDs, cables,  I live-streamed myself cleaning up the AV tech closet in the MIT Theater Department where I found a place to preserve most of this equipment.",Organizing the AV tech closet as media,https://www.dropbox.com/scl/fi/4y4flj3aaeq4sroo7qr45/IMG_4270.jpeg?rlkey=smzxf0yn8d966kbon72dec08v&raw=1,2023,May
Normal Thesis Presentation,Performance,Materiality,"Thesis presentation for my Bachelor of Science in Art and Design degree from MIT. The presentation was a performance in disguise, of a series of carefully crafted glitches and fake troubleshooting that gradually escalated in severity to question our perception of error.",Normal Thesis Presentation,https://www.dropbox.com/s/qrwa8tynjmluxet/IMG_4411.jpeg?raw=1,2023,May
Thesis Cable,Hardware,Materiality,A handmade cable I used to present my thesis presentation. Six wires that connect the individual VGA pins of a VGA cable split in half were assembled on the spot during/as part of my thesis presentation.,Thesis Cable,https://www.dropbox.com/s/xld9p69onvrmvgh/Screen%20Shot%202023-06-12%20at%2015.50.43.png?raw=1,2023,May
Projector (NEC MultiSync VT580),Hardware,Materiality,A lamp I made out of a projector I disassembled and some wire. The projector guts are projected inside out. Your gaze is suspended in between media and medium.,Projector (NEC MultiSync VT580),https://www.dropbox.com/scl/fi/wp20kleiat2ogj61xj16p/183C8757-A0C7-4D69-9450-1A8BF5BDA0FB.jpg?rlkey=hx3fxsutgz3x1h6xczids5h2e&raw=1,2023,May
BREAK MY BODY LIBERATE MY SOUL,Installation,Materiality,"An abandoned Frank Gehry pub inside MIT CSAIL filled with 60 screens and a 20ft tall, 20 channel video sculpture presented as a 1 hour performance for 3 months. Built during a 1 year residency in the space. A tangled network of cables, wires, and tubes circulate water, power, air, and signal throughout the space. The organism is sprawled across the pub, manifesting itself through the 20 screens that act as windows to its soul. This work is my attempt to serve as an acolyte for the machine’s catharsis born out of failure.",BREAK MY BODY LIBERATE MY SOUL,https://www.dropbox.com/s/ayqlzbks5b7zi4b/IMG_2376.jpeg?raw=1,2023,Spring
140 Year Multi-Generational Wet & Hot Man-Sized Effort,Video,Materiality,"A video sculpture of 2 mini video players that were treated to grow mold from an abandoned MIT ‘Women’s Lounge’ and then candied and installed in the Media Lab bathroom. The generations of past women at MIT join the current students in the liberties they now enjoy by flourishing in the wet and hot environment in the pouch as the girls in the video at MIT today, expose their bodies.",140 Year Multi-Generational Wet & Hot Man-Sized Effort,https://www.dropbox.com/s/1uf58jms7fxt1gm/IMG_0434.jpeg?raw=1,2022,December
